,VAL
1237,12.55833299
1238,6.631666
1239,5.36833299
1240,14.163333
1241,14.79083299
1242,21.52583299
1243,27.7225
1244,13.543333
1245,4.99416599
1246,6.06666599
1247,10.02333299
1248,11.037499
1249,8.21749999
1250,7.7175
1251,6.053333
1252,9.342499
1253,11.015833
1254,13.69416599
1255,11.82
1256,11.577499
1257,11.453333
1258,7.8975
1259,9.59416599
1260,7.7125
1261,8.125833
1262,10.32499999
1263,11.5625
1264,9.838333
1265,5.64666599
1266,6.89666599
1267,10.508333
1268,18.38249899
1269,27.225
1270,34.298333
1271,22.709166
1272,15.2325
1273,5.105
1274,9.865
1275,17.34499999
1276,20.300833
1277,22.655833
1278,16.805833
1279,14.733333
1280,13.341666
1281,21.18749899
1282,11.679166
1283,15.429166
1284,23.467499
1285,26.34666599
1286,25.989166
1287,25.50666599
1288,12.923333
1289,10.125
1290,3.38916599
1291,4.43499999
1292,5.80666599
1293,10.473333
1294,16.599166
1295,21.476666
1296,30.42249999
1297,30.690833
1298,16.5825
1299,14.629166
1300,13.59249999
1301,17.565833
1302,13.749999
1303,11.471666
1304,10.35249999
1305,16.155
1306,18.56916599
1307,11.094166
1308,8.47
1309,7.58
1310,14.6225
1311,20.244999
1312,6.18499999
1313,4.26499999
1314,8.25666599
1315,9.93333299
1316,14.226666
1317,7.094166
1318,7.19916599
1319,9.356666
1320,10.896666
1321,13.425
1322,15.045833
1323,13.1975
1324,7.68583299
1325,14.180833
1326,13.056666
1327,13.195
1328,9.16583299
1329,9.25416599
1330,9.876666
1331,10.755
1332,15.914166
1333,20.947499
1334,20.24916599
1335,20.98499899
1336,20.90749999
1337,9.634166
1338,13.425
1339,17.40249899
1340,22.79749999
1341,22.036666
1342,20.285833
1343,5.0175
1344,9.52083299
1345,11.752499
1346,16.190833
1347,21.815833
1348,21.8625
1349,12.22
1350,16.610833
1351,23.60249999
1352,26.60999999
1353,18.656666
1354,6.7625
1355,7.99749999
1356,3.901666
1357,4.001666
1358,7.130833
1359,14.473333
1360,16.239166
1361,17.33833299
1362,13.29166599
1363,12.07583299
1364,15.673333
1365,18.669166
1366,20.07666599
1367,24.04083299
1368,17.61583299
1369,11.3225
1370,9.4525
1371,6.57333299
1372,6.46416599
1373,10.140833
1374,8.93416599
1375,14.217499
1376,23.314166
1377,6.29416599
1378,3.106666
1379,7.86833299
1380,12.364166
1381,15.14
1382,6.10749999
1383,13.358333
1384,11.714999
1385,16.829166
1386,17.42181799
1387,38.8975
1388,21.620833
1389,17.68583299
1390,23.073333
1391,30.79749899
1392,18.84666599
1393,15.30749999
1394,18.2225
1395,13.86499899
1396,19.919166
1397,16.94416599
1398,28.090833
1399,37.09249899
1400,49.63499999
1401,36.62666699
1402,32.93333299
1403,20.73416599
1404,22.551666
1405,7.069166
1406,7.553333
1407,13.834999
1408,19.2875
1409,45.243333
1410,49.60083199
1411,10.884166
1412,21.145
1413,39.686666
1414,40.360833
1415,64.48583399
1416,99.194168
1417,101.275833
1418,48.34166599
1419,36.40999999
1420,24.125833
1421,8.748333
1422,15.619999
1423,15.72
1424,17.523333
1425,8.074166
1426,22.468333
1427,22.236667
1428,17.43499999
1429,30.737499
1430,49.185833
1431,57.68499899
1432,71.418332
1433,76.30166599
1434,57.82333299
1435,37.72499899
1436,54.48916599
1437,52.65749999
1438,61.77
1439,66.228333
1440,36.486666
1441,71.34416699
1442,69.493334
1443,76.686666
1444,66.824166
1445,61.273332
1446,48.84916599
1447,54.50499899
1448,69.226667
1449,31.4675
1450,34.350833
1451,50.619166
1452,46.539166
1453,30.41499999
1454,59.65416599
1455,63.47666699
1456,13.473333
1457,25.458333
1458,23.745833
1459,36.451666
1460,45.578332
1461,61.96499899
1462,35.126666
1463,44.46
1464,37.36499899
1465,11.743333
1466,12.081666
1467,31.13249899
1468,40.29333199
1469,64.185
1470,69.24666499
1471,45.50499899
1472,55.52583299
1473,26.68583299
1474,4.79916599
1475,4.24833299
1476,2.504166
1477,5.8075
1478,26.954999
1479,39.383333
1480,53.37249899
1481,65.625833
1482,40.62083299
1483,18.260833
1484,16.793333
1485,45.343333
1486,74.21166599
1487,85.44166699
1488,116.11583299
1489,134.53
1490,157.119167
1491,206.577501
1492,215.66583399
1493,109.704998
1494,16.6975
1495,15.393333
1496,16.626666
1497,11.920833
1498,14.895833
1499,33.734
1500,37.840833
1501,49.2425
1502,23.919166
1503,32.85333299
1504,47.91166599
1505,48.125833
1506,30.945833
1507,39.742499
1508,40.21666599
1509,73.324999
1510,77.91333299
1511,90.05000099
1512,75.89583299
1513,56.064166
1514,67.310833
1515,68.39583199
1516,21.60833299
1517,30.67749999
1518,53.21333299
1519,35.994166
1520,12.380833
1521,23.032499
1522,28.2725
1523,23.996666
1524,10.970833
1525,7.3425
1526,6.598333
1527,10.205
1528,27.8425
1529,18.84
1530,13.691666
1531,26.90166599
1532,29.65166599
1533,47.615833
1534,61.880834
1535,87.118333
1536,103.298334
1537,54.799166
1538,40.464167
1539,79.858333
1540,95.608332
1541,49.67
1542,20.66666599
1543,13.02
1544,20.8
1545,10.31916599
1546,17.140833
1547,18.649999
1548,19.8825
1549,20.89999999
1550,26.003332
1551,30.58833299
1552,19.736666
1553,18.239166
1554,16.239166
1555,13.100833
1556,17.579999
1557,25.7725
1558,35.1925
1559,28.20666699
1560,29.250833
1561,23.8075
1562,23.028333
1563,25.64999999
1564,27.521666
1565,24.093333
1566,12.396666
1567,8.20083299
1568,10.1975
1569,6.93749899
1570,7.313333
1571,16.424166
1572,22.646666
1573,22.958333
1574,24.163333
1575,24.8475
1576,10.7825
1577,7.711666
1578,5.553333
1579,8.62083299
1580,13.844166
1581,11.440833
1582,8.026666
1583,4.008333
1584,8.0425
1585,9.41666599
1586,12.19416599
1587,12.816666
1588,8.1925
1589,8.29833299
1590,12.143333
1591,19.787499
1592,12.563333
1593,8.903333
1594,15.769166
1595,9.6675
1596,11.339999
1597,16.258333
1598,18.70583299
1599,16.184166
1600,5.01999999
1601,6.348333
1602,13.52999999
1603,18.654166
1604,11.421666
1605,20.25
1606,14.37083299
1607,17.676666
1608,19.731666
1609,24.399166
1610,27.246666
1611,20.419166
1612,18.48333299
1613,17.76249899
1614,14.332499
1615,12.364166
1616,6.07166599
1617,5.29416599
1618,5.178333
1619,10.601666
1620,18.085
1621,20.590833
1622,22.08916599
1623,26.305
1624,30.898333
1625,30.793333
1626,20.724166
1627,13.044166
1628,6.32
1629,14.992499
1630,13.525833
1631,20.805833
1632,22.99083299
1633,25.4025
1634,28.189166
1635,28.306666
1636,15.82583299
1637,15.5625
1638,6.718333
1639,8.786666
1640,6.2575
1641,5.15166599
1642,5.82166599
1643,5.97166599
1644,7.115
1645,17.265833
1646,18.94999999
1647,23.578333
1648,25.67916599
1649,27.12249999
1650,12.834166
1651,18.82499999
1652,16.12416599
1653,18.20166599
1654,12.545
1655,13.750833
1656,9.35333299
1657,9.16999999
1658,8.91666599
1659,15.2775
1660,20.58833299
1661,23.573333
1662,24.94999899
1663,13.975
1664,14.79166599
1665,9.421666
1666,4.3125
1667,3.3325
1668,6.48166599
1669,22.60499899
1670,18.782499
1671,14.3725
1672,11.93249999
1673,20.975833
1674,25.75
1675,30.335
1676,32.23999899
1677,33.939999
1678,20.95083299
1679,6.978333
1680,9.375
1681,8.936666
1682,15.1775
1683,6.7575
1684,4.71416599
1685,6.96416599
1686,7.16833299
1687,10.314166
1688,11.498333
1689,15.787499
1690,15.795
1691,5.95249999
1692,5.86749999
1693,9.32583299
1694,11.635833
1695,0.0
1696,0.0
1697,23.724999
1698,19.216666
1699,16.410833
1700,21.305833
1701,22.149999
1702,17.565833
1703,22.0975
1704,6.500833
1705,3.733333
1706,6.0175
1707,10.185
1708,13.130833
1709,14.869166
1710,14.9725
1711,9.204999
1712,8.025833
1713,4.8825
1714,5.87833299
1715,7.7975
1716,9.580833
1717,8.794999
1718,7.13999999
1719,6.478333
1720,5.56666599
1721,6.48666599
1722,6.835
1723,7.0175
1724,7.6875
1725,11.619166
1726,15.014999
1727,8.33583299
1728,9.484166
1729,15.11499899
1730,20.1
1731,0.0
1732,0.0
1733,27.344999
1734,28.311667
1735,33.540832
1736,33.359166
1737,33.34
1738,21.508333
1739,13.5975
1740,9.250833
1741,15.429166
1742,16.00749899
1743,22.01333299
1744,33.55083299
1745,40.843333
1746,35.58833299
1747,26.621666
1748,20.579999
1749,16.781666
1750,28.281666
1751,47.88583299
1752,74.588333
1753,112.164167
1754,114.877499
1755,74.78666699
1756,5.82749999
1757,12.384166
1758,27.24166599
1759,34.436666
1760,41.985833
1761,32.18416599
1762,13.368333
1763,25.9525
1764,23.879999
1765,39.17666599
1766,40.954166
1767,36.11249999
1768,45.79666699
1769,28.223333
1770,9.59499899
1771,18.966666
1772,16.426666
1773,19.87249999
1774,14.615833
1775,27.298333
1776,31.44
1777,5.955833
1778,13.52333299
1779,22.328333
1780,20.698333
1781,26.265833
1782,29.344166
1783,21.460833
1784,20.174166
1785,19.03818199
1786,52.017499
1787,97.109999
1788,50.875
1789,45.500832
1790,8.46583299
1791,12.40583299
1792,29.21333299
1793,48.0525
1794,20.968333
1795,15.293333
1796,22.906666
1797,24.07499999
1798,57.758333
1799,49.460833
1800,47.91833299
1801,21.56999899
1802,61.133332
1803,9.60166599
1804,9.884999
1805,21.425833
1806,25.24083299
1807,12.885833
1808,20.07666599
1809,31.2225
1810,24.61749899
1811,11.169166
1812,14.26
1813,27.904166
1814,50.31583299
1815,51.431666
1816,83.31416699
1817,88.769165
1818,66.279999
1819,41.623334
1820,48.710833
1821,9.738333
1822,5.4
1823,7.19833299
1824,11.493333
1825,42.73499999
1826,39.975
1827,20.78999999
1828,8.3725
1829,7.673333
1830,46.97833299
1831,29.754999
1832,33.55916599
1833,22.68666599
1834,19.09666599
1835,13.733333
1836,21.765833
1837,28.99833299
1838,22.342499
1839,0.0
1840,0.0
1841,68.3225
1842,32.179166
1843,9.45749999
